#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","DotNetFramework"
"devexpress.win.ru","18.1.6","DevExpress.XtraLayout.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraNavBar.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraPivotGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraPrinting.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraTreeList.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraVerticalGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraWizard.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.ja","18.1.6","DevExpress.XtraSpellChecker.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.de","18.1.6","DevExpress.XtraScheduler.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.de","18.1.6","DevExpress.XtraScheduler.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ja","18.1.6","DevExpress.XtraScheduler.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ja","18.1.6","DevExpress.XtraScheduler.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet","18.1.6","DevExpress.XtraSpreadsheet.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting","18.1.6","DevExpress.XtraScheduler.v18.1.Reporting",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting","18.1.6","DevExpress.XtraScheduler.v18.1.Reporting.Extensions",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.es","18.1.6","DevExpress.XtraSpreadsheet.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.es","18.1.6","DevExpress.XtraScheduler.v18.1.Reporting.resources",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.ru","18.1.6","DevExpress.XtraSpreadsheet.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.ru","18.1.6","DevExpress.XtraScheduler.v18.1.Reporting.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap.de","18.1.6","DevExpress.Snap.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap.de","18.1.6","DevExpress.Snap.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap.ja","18.1.6","DevExpress.Snap.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap.ja","18.1.6","DevExpress.Snap.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.wpf.carousel","18.1.6","DevExpress.Xpf.Carousel.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker","18.1.6","DevExpress.XtraSpellChecker.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.es","18.1.6","DevExpress.XtraSpellChecker.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.de","18.1.6","DevExpress.Xpf.Charts.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.ru","18.1.6","DevExpress.XtraSpellChecker.v18.1.resources",".NETFramework,Version=v4.0"
