#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly"
"DevExpress.ExpressApp.Scheduler.ru","18.2.4","DevExpress.ExpressApp.Scheduler.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.Web","18.2.4","DevExpress.ExpressApp.Scheduler.Web.v18.2"
"DevExpress.ExpressApp.Scheduler.Web.de","18.2.4","DevExpress.ExpressApp.Scheduler.Web.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.Web.es","18.2.4","DevExpress.ExpressApp.Scheduler.Web.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.Web.ja","18.2.4","DevExpress.ExpressApp.Scheduler.Web.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.Web.ru","18.2.4","DevExpress.ExpressApp.Scheduler.Web.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.Win","18.2.4","DevExpress.ExpressApp.Scheduler.Win.v18.2"
"DevExpress.ExpressApp.Scheduler.Win.de","18.2.4","DevExpress.ExpressApp.Scheduler.Win.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.Win.es","18.2.4","DevExpress.ExpressApp.Scheduler.Win.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.Win.ja","18.2.4","DevExpress.ExpressApp.Scheduler.Win.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.Win.ru","18.2.4","DevExpress.ExpressApp.Scheduler.Win.v18.2.resources"
"DevExpress.ExpressApp.ScriptRecorder","18.2.4","DevExpress.ExpressApp.ScriptRecorder.v18.2"
"DevExpress.ExpressApp.ScriptRecorder.de","18.2.4","DevExpress.ExpressApp.ScriptRecorder.v18.2.resources"
"DevExpress.ExpressApp.ScriptRecorder.es","18.2.4","DevExpress.ExpressApp.ScriptRecorder.v18.2.resources"
"DevExpress.ExpressApp.ScriptRecorder.ja","18.2.4","DevExpress.ExpressApp.ScriptRecorder.v18.2.resources"
"DevExpress.ExpressApp.ScriptRecorder.ru","18.2.4","DevExpress.ExpressApp.ScriptRecorder.v18.2.resources"
"DevExpress.ExpressApp.ScriptRecorder.Web","18.2.4","DevExpress.ExpressApp.ScriptRecorder.Web.v18.2"
"DevExpress.ExpressApp.ScriptRecorder.Win","18.2.4","DevExpress.ExpressApp.ScriptRecorder.Win.v18.2"
"DevExpress.ExpressApp.ScriptRecorder.Win.de","18.2.4","DevExpress.ExpressApp.ScriptRecorder.Win.v18.2.resources"
"DevExpress.ExpressApp.ScriptRecorder.Win.es","18.2.4","DevExpress.ExpressApp.ScriptRecorder.Win.v18.2.resources"
"DevExpress.ExpressApp.ScriptRecorder.Win.ja","18.2.4","DevExpress.ExpressApp.ScriptRecorder.Win.v18.2.resources"
"DevExpress.ExpressApp.ScriptRecorder.Win.ru","18.2.4","DevExpress.ExpressApp.ScriptRecorder.Win.v18.2.resources"
"DevExpress.ExpressApp.Security","18.2.4","DevExpress.ExpressApp.Security.v18.2"
"DevExpress.ExpressApp.Security.de","18.2.4","DevExpress.ExpressApp.Security.v18.2.resources"
"DevExpress.ExpressApp.Security.EF","18.2.4","DevExpress.ExpressApp.Security.EF.v18.2"
"DevExpress.ExpressApp.Security.es","18.2.4","DevExpress.ExpressApp.Security.v18.2.resources"
"DevExpress.ExpressApp.Security.ja","18.2.4","DevExpress.ExpressApp.Security.v18.2.resources"
"DevExpress.ExpressApp.Security.ru","18.2.4","DevExpress.ExpressApp.Security.v18.2.resources"
"DevExpress.ExpressApp.Security.Xpo","18.2.4","DevExpress.ExpressApp.Security.Xpo.v18.2"
"DevExpress.ExpressApp.Security.Xpo.de","18.2.4","DevExpress.ExpressApp.Security.Xpo.v18.2.resources"
"DevExpress.ExpressApp.Security.Xpo.es","18.2.4","DevExpress.ExpressApp.Security.Xpo.v18.2.resources"
"DevExpress.ExpressApp.Security.Xpo.ja","18.2.4","DevExpress.ExpressApp.Security.Xpo.v18.2.resources"
